DATA,JANELA_15MIN,VALOR_TOTAL_15M
2025-10-22,2025-10-22 05:00:00.000,44.9
2025-10-22,2025-10-22 06:00:00.000,70.57
2025-10-22,2025-10-22 06:30:00.000,704.2
2025-10-22,2025-10-22 06:45:00.000,189.67
2025-10-22,2025-10-22 07:00:00.000,3026.31
2025-10-22,2025-10-22 07:15:00.000,4943.39
2025-10-22,2025-10-22 07:30:00.000,6338.38
2025-10-22,2025-10-22 07:45:00.000,6762.74
2025-10-22,2025-10-22 08:00:00.000,7621.66
2025-10-22,2025-10-22 08:15:00.000,14643.02
2025-10-22,2025-10-22 08:30:00.000,8300.41
2025-10-22,2025-10-22 08:45:00.000,11418.84
2025-10-22,2025-10-22 09:00:00.000,15804.25
2025-10-22,2025-10-22 09:15:00.000,14700.76
2025-10-22,2025-10-22 09:30:00.000,18759.86
2025-10-22,2025-10-22 09:45:00.000,18428.17
2025-10-22,2025-10-22 10:00:00.000,15881.71
2025-10-22,2025-10-22 10:15:00.000,18046.28
2025-10-22,2025-10-22 10:30:00.000,20621.49
2025-10-22,2025-10-22 10:45:00.000,20367.93
2025-10-22,2025-10-22 11:00:00.000,21883.36
2025-10-22,2025-10-22 11:15:00.000,29263.7
2025-10-22,2025-10-22 11:30:00.000,19690.52
2025-10-22,2025-10-22 11:45:00.000,15879.43
2025-10-22,2025-10-22 12:00:00.000,18640.65
2025-10-22,2025-10-22 12:15:00.000,17654.86
2025-10-22,2025-10-22 12:30:00.000,13858.21
2025-10-22,2025-10-22 12:45:00.000,11259.56
2025-10-22,2025-10-22 13:00:00.000,12031.25
2025-10-22,2025-10-22 13:15:00.000,17397.84
2025-10-22,2025-10-22 13:30:00.000,17287.12
2025-10-22,2025-10-22 13:45:00.000,14386.23
2025-10-22,2025-10-22 14:00:00.000,13837.68
2025-10-22,2025-10-22 14:15:00.000,15873.96
2025-10-22,2025-10-22 14:30:00.000,13700.53
2025-10-22,2025-10-22 14:45:00.000,12940.42
2025-10-22,2025-10-22 15:00:00.000,17887.72
2025-10-22,2025-10-22 15:15:00.000,18699.34
2025-10-22,2025-10-22 15:30:00.000,16163.09
2025-10-22,2025-10-22 15:45:00.000,11085.07
2025-10-22,2025-10-22 16:00:00.000,17104.18
2025-10-22,2025-10-22 16:15:00.000,14287.21
2025-10-22,2025-10-22 16:30:00.000,25994.43
2025-10-22,2025-10-22 16:45:00.000,26535.26
2025-10-22,2025-10-22 17:00:00.000,22971.69
2025-10-22,2025-10-22 17:15:00.000,27685.89
2025-10-22,2025-10-22 17:30:00.000,28091.64
2025-10-22,2025-10-22 17:45:00.000,24637.29
2025-10-22,2025-10-22 18:00:00.000,27183.06
2025-10-22,2025-10-22 18:15:00.000,21340.47
2025-10-22,2025-10-22 18:30:00.000,27992
2025-10-22,2025-10-22 18:45:00.000,16066.38
2025-10-22,2025-10-22 19:00:00.000,14758.36
2025-10-22,2025-10-22 19:15:00.000,25014.7
2025-10-22,2025-10-22 19:30:00.000,12693.33
2025-10-22,2025-10-22 19:45:00.000,10470.37
2025-10-22,2025-10-22 20:00:00.000,16540.29
2025-10-22,2025-10-22 20:15:00.000,11369.98
2025-10-22,2025-10-22 20:30:00.000,10854.55
2025-10-22,2025-10-22 20:45:00.000,14674.23
2025-10-22,2025-10-22 21:00:00.000,16022.67
2025-10-22,2025-10-22 21:15:00.000,12320.12
2025-10-22,2025-10-22 21:30:00.000,16766.38
2025-10-22,2025-10-22 21:45:00.000,12149.37
2025-10-22,2025-10-22 22:00:00.000,5262.88
2025-10-22,2025-10-22 22:15:00.000,3332.45
2025-10-22,2025-10-22 22:30:00.000,5312.47
2025-10-22,2025-10-22 22:45:00.000,2389.74
2025-10-22,2025-10-22 23:00:00.000,1607.81
2025-10-22,2025-10-22 23:15:00.000,517.04
2025-10-22,2025-10-22 23:30:00.000,60.87
2025-10-22,2025-10-22 23:45:00.000,276.05
2025-10-23,2025-10-23 00:00:00.000,1724.34
2025-10-23,2025-10-23 00:15:00.000,79.89
2025-10-23,2025-10-23 00:30:00.000,119.9
2025-10-23,2025-10-23 01:00:00.000,128.79
2025-10-23,2025-10-23 01:15:00.000,6.99
2025-10-23,2025-10-23 01:30:00.000,154.89
2025-10-23,2025-10-23 01:45:00.000,66.29
2025-10-23,2025-10-23 02:00:00.000,303.24
2025-10-23,2025-10-23 02:45:00.000,25.44
